Nome,Qtd empresas,Estado,Codigo
Guanambi,18,BA,291170
Ananindeua,18,PA,150080
Itupeva,18,SP,352400
Uniao Da Vitoria,18,PR,412820
Matao,18,SP,352930
Canoinhas,18,SC,420380
Pontal,18,SP,354020
Joacaba,18,SC,420900
Sao Miguel Do Oeste,18,SC,421720
Caieiras,18,SP,350900
Maraba,18,PA,150420
Alagoinhas,18,BA,290070
Paulo Afonso,18,BA,292400
Sobral,17,CE,231290
Parauapebas,17,PA,150553
Santa Cruz Do Sul,17,RS,431680
Porto Seguro,17,BA,292530
Varzea Paulista,17,SP,355650
Esteio,17,RS,430770
Luis Eduardo Magalhaes,17,BA,291955
Santa Cruz Do Rio Pardo,17,SP,354640
Frederico Westphalen,17,RS,430850
Leme,17,SP,352670
Jandaia Do Sul,17,PR,411210
Penapolis,17,SP,353730
Unai,17,MG,317040
Parnaiba,16,PI,220770
Senador Canedo,16,GO,522045
Mirassol,16,SP,353030
Crato,16,CE,230420
Barreiras,16,BA,290320
Barbacena,16,MG,310560
Sao Mateus,16,ES,320490
Coronel Fabriciano,16,MG,311940
Carpina,16,PE,260400
Cacoal,16,RO,110004
Ariquemes,16,RO,110002
Carazinho,16,RS,430470
Guarapari,16,ES,320240
Paranaiba,16,MS,500630
Ponte Nova,15,MG,315210
Barretos,15,SP,350550
Valparaiso De Goias,15,GO,522185
Jau,15,SP,352530
Curitibanos,15,SC,420480
Videira,15,SC,421930
Pirassununga,15,SP,353930
Carlos Barbosa,15,RS,430480
Jacarezinho,15,PR,411180
Vitoria De Santo Antao,15,PE,261640
Franco Da Rocha,15,SP,351640
Bento Goncalves,15,RS,430210
Marechal Candido Rondon,15,PR,411460
Santo Angelo,15,RS,431750
Araruama,15,RJ,330020
Guaxupe,15,MG,312870
Olimpia,15,SP,353390
Cacapava,15,SP,350850
Angra Dos Reis,15,RJ,330010
Marica,15,RJ,330270
Irati,15,PR,411070
Guaranta Do Norte,15,MT,510410
Mesquita,14,RJ,330285
Para De Minas,14,MG,314710
Caldas Novas,14,GO,520450
Espirito Santo Do Pinhal,14,SP,351518
Novo Horizonte,14,SP,353350
Cabo De Santo Agostinho,14,PE,260290
Senhor Do Bonfim,14,BA,293010
Alta Floresta,14,MT,510025
Taquaritinga,14,SP,355370
Mairipora,14,SP,352850
Tres Coracoes,14,MG,316930
Sapucaia Do Sul,14,RS,432000
Frutal,14,MG,312710
Caraguatatuba,14,SP,351050
Sao Bento Do Sul,14,SC,421580
Sao Pedro Da Aldeia,14,RJ,330520
Lorena,14,SP,352720
Taquara,13,RS,432120
Santo Antonio Da Platina,13,PR,412410
Guaiba,13,RS,430930
Corbelia,13,PR,410630
Garibaldi,13,RS,430860
Viamao,13,RS,432300
Ribeirao Das Neves,13,MG,315460
Goiana,13,PE,260620
Formosa,13,GO,520800
Venancio Aires,13,RS,432260
Bom Despacho,13,MG,310740
Luziania,13,GO,521250
Castilho,13,SP,351100
Itapira,13,SP,352260
Guaira,13,PR,410880
Simoes Filho,13,BA,293070
Arcoverde,13,PE,260120
Cruz Alta,13,RS,430610
Paraguacu Paulista,13,SP,353550
Lagarto,12,SE,280350
Morrinhos,12,GO,521380
Silvania,12,GO,522060
Pedreira,12,SP,353710
Colider,12,MT,510320
Mirandopolis,12,SP,353010
Ouro Branco,12,MG,314590
Marialva,12,PR,411480
Itaperuna,12,RJ,330220
Camaragibe,12,PE,260345
Mirassol D'Oeste,12,MT,510562
Descalvado,12,SP,351370
Almirante Tamandare,12,PR,410040
Paracatu,12,MG,314700
Machado,12,MG,313900
Nova Prata,12,RS,431330
Itabirito,12,MG,313190
Ubatuba,12,SP,355540
Itapaci,12,GO,521090
Itauna,11,MG,313380
Saquarema,11,RJ,330550
Itabaiana,11,SE,280290
Xanxere,11,SC,421950
Nova Mutum,11,MT,510622
Rolandia,11,PR,412240
Valenca,11,RJ,330610
Muniz Freire,11,ES,320370
Trindade,11,GO,522140
Bandeirantes,11,PR,410240
Garca,11,SP,351670
Maracanau,11,CE,230765
Ivaipora,11,PR,411150
Rubiataba,11,GO,521890
Guapore,11,RS,430940
Altamira,11,PA,150060
Lagoa Da Prata,11,MG,313720
Fazenda Rio Grande,11,PR,410765
Barrinha,11,SP,350560
Ipameri,11,GO,521010
Belo Jardim,11,PE,260170
Marau,11,RS,431180
Cordeiropolis,11,SP,351240
Irece,11,BA,291460
Jose Bonifacio,10,SP,352570
Regente Feijo,10,SP,354240
Horizontina,10,RS,430960
Porto Ferreira,10,SP,354070
Pinhalzinho,10,SC,421290
Guaratuba,10,PR,410960
Bertioga,10,SP,350635
Campo Verde,10,MT,510267
Curvelo,10,MG,312090
Osvaldo Cruz,10,SP,353460
Itanhaem,10,SP,352210
Mandaguari,10,PR,411420
Ituverava,10,SP,352410
Dois Vizinhos,10,PR,410720
Castanhal,10,PA,150240
Cataguases,10,MG,311530
Sao Sebastiao,10,SP,355070
Cruzeiro Do Sul,10,RS,430620
Registro,10,SP,354260
Camboriu,10,SC,420320
Ipua,10,SP,352130
Osorio,10,RS,431350
Caarapo,10,MS,500240
Catu,10,BA,290750
Laranjeiras Do Sul,10,PR,411330
Campo Limpo Paulista,10,SP,350960
Conceicao Do Coite,10,BA,290840
Capao Da Canoa,10,RS,430463
Montenegro,10,RS,431240
Pereira Barreto,9,SP,353740
Pitangueiras,9,SP,353950
Avare,9,SP,350450
Encantado,9,RS,430680
Bom Jesus,9,GO,
Cruz Das Almas,9,BA,290980
Ararangua,9,SC,420140
Goianesia,9,GO,520860
Sao Francisco Do Sul,9,SC,421620
Corumba,9,MS,500320
Batatais,9,SP,350590
Navegantes,9,SC,421130
Mariana,9,MG,314000
Palmeira Das Missoes,9,RS,431370
Uruguaiana,9,RS,432240
Bage,9,RS,430160
Itaberaba,9,BA,291470
Barra Do Bugres,9,MT,510170
Francisco Morato,9,SP,351630
Caxias,9,MA,210300
Arcos,9,MG,310420
Peruibe,9,SP,353760
Rio Negro,9,PR,412230
Sao Sebastiao Do Cai,9,RS,431950
Santo Anastacio,9,SP,354770
Porto Uniao,9,SC,421360
Porto Feliz,9,SP,354060
Engenheiro Coelho,9,SP,351515
Vargem Grande Paulista,9,SP,355645
Campos Novos,9,SC,420360
Formiga,9,MG,312610
Boituva,9,SP,350700
Maracas,9,BA,292050
Lagoa Santa,9,MG,313760
Boa Vista Do Burica,9,RS,430220
Serra Negra,9,SP,355160
Sapiranga,9,RS,431990
Limoeiro,9,PE,260890
Vespasiano,8,MG,317120
Barao De Cocais,8,MG,310540
Paco Do Lumiar,8,MA,210750
Maravilha,8,SC,421050
Sao Pedro,8,SP,355040
Santa Rita Do Passa Quatro,8,SP,354750
Sonora,8,MS,500793
Sapezal,8,MT,510787
Tapes,8,RS,432110
Queimados,8,RJ,330414
Santo Estevao,8,BA,292880
Ituporanga,8,SC,420850
Imbituba,8,SC,420730
Jacobina,8,BA,291750
Vera Cruz,8,SP,355660
Inhumas,8,GO,521000
Morro Agudo,8,SP,353190
Fraiburgo,8,SC,420550
Jaru,8,RO,110011
Casa Branca,8,SP,351080
Santo Cristo,8,RS,431790
Visconde Do Rio Branco,8,MG,317200
Icara,8,SC,420700
Palmeira Dos Indios,8,AL,270630
Marataizes,8,ES,320332
Timon,8,MA,211220
Quedas Do Iguacu,8,PR,412090
Candido Mota,8,SP,351000
Nova Venecia,8,ES,320390
Monte Azul Paulista,8,SP,353150
Estancia,8,SE,280210
Valparaiso,8,SP,355630
Pitanga,8,PR,411960
Botelhos,8,MG,310840
Serra Talhada,8,PE,261390
Porto Nacional,8,TO,171820
Janauba,8,MG,313510
Jaguarari,8,BA,291770
Tapejara,8,RS,432090
Guacui,8,ES,320230
Capinzal,8,SC,420390
Presidente Venceslau,8,SP,354150
Urupes,8,SP,355600
Ipora,8,GO,521020
Sousa,8,PB,251620
Indaial,8,SC,420750
Niquelandia,8,GO,521460
Coromandel,8,MG,311930
Cambara,8,PR,410360
Mairi,8,BA,292010
Santiago,8,RS,431740
Pirajui,8,SP,353890
Embu-Guacu,8,SP,351510
Santana Do Paraiso,8,MG,315895
Igarassu,8,PE,260680
Sao Luis De Montes Belos,8,GO,522010
Gravata,8,PE,260640
Itaituba,7,PA,150360
Goiatuba,7,GO,520910
Santa Isabel,7,SP,354680
Piraju,7,SP,353880
Floriano,7,PI,220390
Cacador,7,SC,420300
Ibipora,7,PR,410980
Ibate,7,SP,351930
Goioere,7,PR,410860
Ipiau,7,BA,291390
Mafra,7,SC,421010
Caucaia,7,CE,230370
Sao Lourenco Do Oeste,7,SC,421690
Bela Vista De Goias,7,GO,520330
Tiete,7,SP,355450
Sao Lourenco,7,MG,316370
Barra De Sao Francisco,7,ES,320090
Caconde,7,SP,350870
Buritama,7,SP,350810
Alvorada,7,RS,430060
Ilhabela,7,SP,352040
Palmital,7,PR,411780
Conceicao Da Feira,7,BA,290820
Sao Sebastiao Do Passe,7,BA,292950
Campo Novo Do Parecis,7,MT,510263
Manoel Ribas,7,PR,411450
Cosmopolis,7,SP,351280
Iguatu,7,PR,411005
Canaa Dos Carajas,7,PA,150215
Aguas Lindas De Goias,7,GO,520025
Ubirata,7,PR,412800
Altonia,7,PR,410050
Humaita,7,AM,130170
Santo Antonio De Posse,7,SP,354800
Sabara,7,MG,315670
Sao Jose Dos Quatro Marcos,7,MT,510710
Andradas,7,MG,310260
Getulio Vargas,7,RS,430890
Natividade,7,RJ,330310
Rio Negrinho,7,SC,421500
Pimenta Bueno,7,RO,110018
Tremembe,7,SP,355480
Dias D'Avila,7,BA,291005
Sao Jose De Ribamar,7,MA,211120
Caico,7,RN,240200
Auriflama,7,SP,350420
Vacaria,7,RS,432250
Confresa,7,MT,510335
Rialma,7,GO,521860
Balsas,7,MA,210140
Santa Maria De Itabira,7,MG,315800
Ibirite,7,MG,312980
Crateus,7,CE,230410
Assis Chateaubriand,7,PR,410200
Monte Santo De Minas,7,MG,314320
Cassilandia,7,MS,500290
Lencois Paulista,7,SP,352680
Timbauba,7,PE,261530
Artur Nogueira,7,SP,350380
Quata,7,SP,354170
Navirai,7,MS,500570
Capao Bonito,7,SP,351020
Rolim De Moura,7,RO,110028
Planaltina,7,GO,521760
Pojuca,7,BA,292520
Ponta Pora,7,MS,500660
Socorro,7,SP,355210
Rancharia,7,SP,354220
Potirendaba,7,SP,354080
Picos,7,PI,220800
Cajazeiras,7,PB,250370
Cambe,7,PR,410370
Cravinhos,6,SP,351310
Nova Andradina,6,MS,500620
Mucuri,6,BA,292200
Timbo,6,SC,421820
Sobradinho,6,RS,432070
Mara Rosa,6,GO,521280
Bonito,6,PE,260230
Igarapava,6,SP,352010
Iuna,6,ES,320300
Acailandia,6,MA,210005
Santo Antonio De Goias,6,GO,521973
Camocim,6,CE,230260
Iguatemi,6,MS,500430
Santa Ines,6,MA,210990
Jardinopolis,6,SP,352510
Cerquilho,6,SP,351150
Juara,6,MT,510510
Alvinopolis,6,MG,310230
Cajuru,6,SP,350940
Barracao,6,PR,410260
Capim Grosso,6,BA,290687
Mongagua,6,SP,353110
Quixada,6,CE,231130
Carangola,6,MG,311330
Pedro Leopoldo,6,MG,314930
Minacu,6,GO,521308
Sao Joao D'Alianca,6,GO,522000
Carandai,6,MG,311320
Morungaba,6,SP,353200
Lucelia,6,SP,352740
Paicandu,6,PR,411750
Laranjal Paulista,6,SP,352640
Congonhas,6,MG,311800
Santa Barbara,6,MG,315720
Nova Olimpia,6,MT,510623
Piraquara,6,PR,411950
Ouro Fino,6,MG,314600
Tarauaca,6,AC,120060
Independencia,6,RS,431040
Serrana,6,SP,355150
Santo Amaro,6,BA,292860
Junqueiropolis,6,SP,352600
Conceicao Do Mato Dentro,6,MG,311750
Sao Jose Do Ouro,6,RS,431860
Anchieta,6,ES,320040
Capanema,6,PA,150220
Braco Do Norte,6,SC,420280
Sao Borja,6,RS,431800
Campo Maior,6,PI,220220
Santana Do Livramento,6,RS,
Campina Verde,6,MG,311110
Nao-Me-Toque,6,RS,431265
Brodowski,6,SP,350780
Terra Boa,6,PR,412720
Itapuranga,6,GO,521120
Jaborandi,6,SP,352420
Panambi,6,RS,431390
Balneario De Picarras,6,SC,
Neropolis,6,GO,521450
Cabreuva,6,SP,350840
Palmares,6,PE,261000
General Salgado,6,SP,351690
Campina Grande Do Sul,6,PR,410400
Tres Passos,6,RS,432190
Viana,6,ES,320510
Arapoti,6,PR,410160
Ouro Preto Do Oeste,6,RO,110015
Ipaussu,6,SP,352090
Diamantina,6,MG,312160
Mairinque,6,SP,352840
Maranguape,6,CE,230770
Farroupilha,6,RS,430790
Serra Do Salitre,6,MG,316680
Guararema,6,SP,351830
Laguna,6,SC,420940
Monte Mor,6,SP,353180
Surubim,6,PE,261450
Palotina,6,PR,411790
Itapetinga,6,BA,291640
Juina,5,MT,510515
Santa Teresa,5,ES,320460
Japeri,5,RJ,330227
Pederneiras,5,SP,353670
Alegrete,5,RS,430040
Iracemapolis,5,SP,352140
Colorado,5,PR,410590
Ivinhema,5,MS,500470
Sao Marcos,5,RS,431900
Jaguaquara,5,BA,291760
Guariba,5,SP,351860
Ita,5,SC,420800
Ibia,5,MG,312950
Nova Odessa,5,SP,353340
Ilicinea,5,MG,313050
Taquari,5,RS,432130
Campos Do Jordao,5,SP,350970
Maracaju,5,MS,500540
Fatima,5,BA,291075
Cachoeira,5,BA,290490
Canela,5,RS,430440
Canarana,5,MT,510270
Paraguacu,5,MG,314720
Alexania,5,GO,520030
Matelandia,5,PR,411560
Porto Real,5,RJ,330411
Tres Marias,5,MG,316935
Paranacity,5,PR,411810
Macaubas,5,BA,291980
Conceicao Do Castelo,5,ES,320170
Costa Rica,5,MS,500325
Comodoro,5,MT,510330
Aparecida,5,SP,350250
Fenix,5,PR,410770
Alegre,5,ES,320020
Igrejinha,5,RS,431010
Sananduva,5,RS,431660
Santa Cruz Do Capibaribe,5,PE,261250
Cidade Ocidental,5,GO,520549
Veranopolis,5,RS,432280
Pradopolis,5,SP,354090
Cafelandia,5,SP,350880
Cristalina,5,GO,520620
Cordeiro,5,RJ,330150
Uchoa,5,SP,355560
Livramento De Nossa Senhora,5,BA,291950
Fatima Do Sul,5,MS,500380
Rio Bonito,5,RJ,330430
Tupi Paulista,5,SP,355510
Guara,5,SP,351770
Quatro Barras,5,PR,412080
Realeza,5,PR,412140
Rafael Jambeiro,5,BA,292595
Itau De Minas,5,MG,313375
Louveira,5,SP,352730
Santana,5,BA,292820
Juatuba,5,MG,313665
Serrinha,5,BA,293050
Sao Raimundo Nonato,5,PI,221060
Currais Novos,5,RN,240310
Crixas,5,GO,520640
Alem Paraiba,5,MG,310150
Itaguaru,5,GO,521060
Igarata,5,SP,352020
Barra Velha,5,SC,420210
Agua Boa,5,MT,510020
Matupa,5,MT,510560
Lobato,5,PR,411360
Araripina,5,PE,260110
Pirapora,5,MG,315120
Mandaguacu,5,PR,411410
Panorama,5,SP,353540
Cerro Grande Do Sul,5,RS,430517
Oliveira Dos Brejinhos,5,BA,292320
Conceicao Do Jacuipe,5,BA,290850
Cachoeira Paulista,5,SP,350860
Salinas,5,MG,315700
Areado,5,MG,310430
Nova Serrana,5,MG,314520
Araputanga,5,MT,510125
Miguel Pereira,5,RJ,330290
Ribas Do Rio Pardo,5,MS,500710
Urania,5,SP,355580
Monte Aprazivel,5,SP,353140
Campo Belo,5,MG,311120
Heliopolis,5,BA,291185
Ibitinga,5,SP,351960
Portao,5,RS,431480
Pau Dos Ferros,5,RN,240940
Cruzeiro Do Oeste,5,PR,410660
Venda Nova Do Imigrante,5,ES,320506
Lagoa Vermelha,5,RS,431130
Aparecida Do Taboado,5,MS,500100
Taruma,5,SP,355395
Jaciara,5,MT,510480
Alegria,5,RS,430045
Faxinal Dos Guedes,5,SC,420530
Cachoeiras De Macacu,5,RJ,330080
Santa Rita Do Sapucai,5,MG,315960
Itaberai,5,GO,521040
Teutonia,5,RS,432145
Bacabal,5,MA,210120
Aguai,5,SP,350030
Campo Bom,5,RS,430390
Itaguai,5,RJ,330200
Mozarlandia,5,GO,521400
Sao Luiz Gonzaga,5,RS,431890
Abaetetuba,5,PA,150010
Espumoso,5,RS,430750
Tapurah,5,MT,510800
Porangatu,5,GO,521800
Sao Goncalo Do Amarante,5,RN,241200
Tiangua,5,CE,231340
Tres Rios,5,RJ,330600
Pirapozinho,4,SP,353920
Divino,4,MG,312200
Sao Fidelis,4,RJ,330480
Chopinzinho,4,PR,410540
Valenca Do Piaui,4,PI,221130
Orindiuva,4,SP,353420
Pedra Preta,4,MT,510637
Exterior,4,EX,
Piuma,4,ES,320420
Vargem Grande Do Sul,4,SP,355640
Nova Xavantina,4,MT,510625
Ivoti,4,RS,431080
Nova Veneza,4,GO,521500
Santa Rosa De Viterbo,4,SP,354760
Santaluz,4,BA,292800
Altinopolis,4,SP,350100
Turvo,4,SC,421880
Diamantino,4,MT,510350
Douradina,4,PR,410725
Vassouras,4,RJ,330620
Alvinlandia,4,SP,350150
Russas,4,CE,231180
Rio Casca,4,MG,315490
Aragarcas,4,GO,520170
Mata De Sao Joao,4,BA,292100
Mage,4,RJ,330250
Mundo Novo,4,MS,500568
Clevelandia,4,PR,410570
Muritiba,4,BA,292230
Conceicao Das Alagoas,4,MG,311730
Barra Do Choca,4,BA,290290
Rio Pardo De Minas,4,MG,315560
Porto Belo,4,SC,421350
Nova Crixas,4,GO,521483
Januaria,4,MG,313520
Paraty,4,RJ,330380
Urai,4,PR,412840
Boa Esperanca,4,PR,410300
Martinopolis,4,SP,352920
Pires Do Rio,4,GO,521740
Lupercio,4,SP,352780
Marilandia Do Sul,4,PR,411490
Alto Piquiri,4,PR,410070
Ciriaco,4,RS,430550
Xaxim,4,SC,421970
Goias,4,GO,520890
Bariri,4,SP,350520
Dois Irmaos,4,RS,430640
Itacoatiara,4,AM,130190
Estrela Do Norte,4,GO,520750
Peixoto De Azevedo,4,MT,510642
David Canabarro,4,RS,430630
Sao Manuel,4,SP,355010
Novo Itacolomi,4,PR,411729
Carlopolis,4,PR,410470
Astorga,4,PR,410210
Santa Terezinha De Itaipu,4,PR,412405
Sao Gabriel Da Palha,4,ES,320470
Cacapava Do Sul,4,RS,430280
Seara,4,SC,421750
Sales Oliveira,4,SP,354490
Santo Amaro Da Imperatriz,4,SC,421570
Piedade,4,SP,353780
Pontes E Lacerda,4,MT,510675
Reserva,4,PR,412170
Floresta,4,PR,410790
Candeias,4,BA,290650
Domingos Martins,4,ES,320190
Bezerros,4,PE,260190
Gramado,4,RS,430910
Nova Cruz,4,RN,240830
Sao Francisco De Assis,4,RS,431810
Brotas,4,SP,350790
Bom Jesus Dos Perdoes,4,SP,350710
Buritis,4,RO,110045
